scheduler,code,q,columns,layers,qubits,volume,idle,sec,floor,best_cols,q_rel,cols_rel,collapsed_to_serial,n_methods,common,q_n,cols_n,q_lo,q_hi,c_lo,c_hi
greedy,"[[20,2,6]]",79,33,29,76,2296.0,311.0,18.5,45,27,1.7555555555555555,1.2222222222222223,False,3,True,0.6415094339622641,0.08450704225352113,45,98,27,98.0
greedy,"[[20,2,6]]",80,32,28,80,2331.0,229.0,14.0,45,27,1.7777777777777777,1.1851851851851851,False,3,True,0.660377358490566,0.07042253521126761,45,98,27,98.0
greedy,"[[20,2,6]]",81,31,27,81,2243.0,268.0,22.9,45,27,1.8,1.1481481481481481,False,3,True,0.6792452830188679,0.056338028169014086,45,98,27,98.0
greedy,"[[20,2,6]]",82,31,27,81,2243.0,299.0,12.1,45,27,1.8222222222222222,1.1481481481481481,False,3,True,0.6981132075471698,0.056338028169014086,45,98,27,98.0
greedy,"[[20,2,6]]",83,31,27,81,2243.0,330.0,13.7,45,27,1.8444444444444446,1.1481481481481481,False,3,True,0.7169811320754716,0.056338028169014086,45,98,27,98.0
greedy,"[[20,2,6]]",84,31,27,81,2243.0,361.0,17.3,45,27,1.8666666666666667,1.1481481481481481,False,3,True,0.7358490566037735,0.056338028169014086,45,98,27,98.0
greedy,"[[20,2,6]]",85,30,26,85,2306.0,244.0,11.6,45,27,1.8888888888888888,1.1111111111111112,False,3,True,0.7547169811320755,0.04225352112676056,45,98,27,98.0
greedy,"[[20,2,6]]",86,30,26,86,2288.0,292.0,11.3,45,27,1.9111111111111112,1.1111111111111112,False,3,True,0.7735849056603774,0.04225352112676056,45,98,27,98.0
greedy,"[[20,2,6]]",87,30,26,86,2288.0,322.0,21.7,45,27,1.9333333333333333,1.1111111111111112,False,3,True,0.7924528301886793,0.04225352112676056,45,98,27,98.0
greedy,"[[20,2,6]]",88,29,25,88,2289.0,263.0,11.1,45,27,1.9555555555555555,1.0740740740740742,False,3,True,0.8113207547169812,0.028169014084507043,45,98,27,98.0
greedy,"[[20,2,6]]",89,29,25,88,2289.0,292.0,10.8,45,27,1.9777777777777779,1.0740740740740742,False,3,True,0.8301886792452831,0.028169014084507043,45,98,27,98.0
greedy,"[[20,2,6]]",90,29,25,88,2289.0,321.0,15.9,45,27,2.0,1.0740740740740742,False,3,True,0.8490566037735849,0.028169014084507043,45,98,27,98.0
greedy,"[[20,2,6]]",91,29,25,88,2289.0,350.0,10.6,45,27,2.022222222222222,1.0740740740740742,False,3,True,0.8679245283018868,0.028169014084507043,45,98,27,98.0
greedy,"[[20,2,6]]",92,29,25,88,2289.0,379.0,10.7,45,27,2.0444444444444443,1.0740740740740742,False,3,True,0.8867924528301887,0.028169014084507043,45,98,27,98.0
greedy,"[[20,2,6]]",93,28,24,93,2326.0,278.0,10.3,45,27,2.066666666666667,1.037037037037037,False,3,True,0.9056603773584906,0.014084507042253521,45,98,27,98.0
greedy,"[[20,2,6]]",94,28,24,93,2326.0,306.0,15.0,45,27,2.088888888888889,1.037037037037037,False,3,True,0.9245283018867925,0.014084507042253521,45,98,27,98.0
greedy,"[[20,2,6]]",95,28,24,95,2326.0,334.0,15.0,45,27,2.111111111111111,1.037037037037037,False,3,True,0.9433962264150944,0.014084507042253521,45,98,27,98.0
greedy,"[[20,2,6]]",96,28,24,95,2326.0,362.0,14.6,45,27,2.1333333333333333,1.037037037037037,False,3,True,0.9622641509433962,0.014084507042253521,45,98,27,98.0
greedy,"[[20,2,6]]",97,28,24,97,2304.0,412.0,18.4,45,27,2.1555555555555554,1.037037037037037,False,3,True,0.9811320754716981,0.014084507042253521,45,98,27,98.0
greedy,"[[20,2,6]]",98,27,23,98,2330.0,316.0,14.6,45,27,2.1777777777777776,1.0,False,3,True,1.0,0.0,45,98,27,98.0
greedy,"[[20,2,6]]",98,27,98,2349,297.0,14.3,,45,27,2.1777777777777776,1.0,False,3,True,1.0,0.0,45,98,27,98.0
greedy,"[[21,2,6]]",43,97,93,43,4100.0,71.0,56.1,43,28,1.0,3.4642857142857144,False,3,True,0.0,0.5830164765525971,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",44,92,88,44,3952.0,96.0,79.6,43,28,1.0232558139534884,3.2857142857142856,False,3,True,0.01818181818181818,0.5407689057879161,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",45,84,80,45,3702.0,78.0,48.5,43,28,1.0465116279069768,3.0,False,3,True,0.03636363636363636,0.4731727925644267,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",46,81,77,46,3659.0,67.0,43.4,43,28,1.069767441860465,2.892857142857143,False,3,True,0.05454545454545454,0.4478242501056181,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",47,75,71,47,3426.0,99.0,40.1,43,28,1.0930232558139534,2.6785714285714284,False,3,True,0.07272727272727272,0.39712716518800095,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",48,70,66,48,3250.0,110.0,53.6,43,28,1.1162790697674418,2.5,False,3,True,0.09090909090909091,0.35487959442332,43,98,28,146.35000000000022
