q,columns,layers,qubits,volume,idle,sec,family,method,label_raw,n_labels,q_col,excel_row,n_filled,block_key,instance,idle_true,footprint,util
94,41,37,93,3463,391,38.5,random,annealed,378,1,24,33,7,64,N=378,350,3813,0.9082087595069499
95,40,36,95,3487,313,40.6,random,annealed,378,1,24,34,7,64,N=378,313,3800,0.9176315789473685
96,39,35,96,3418,326,39.8,random,annealed,378,1,24,35,7,64,N=378,326,3744,0.9129273504273504
97,39,35,96,3418,365,39.5,random,annealed,378,1,24,36,7,64,N=378,326,3744,0.9129273504273504
98,39,35,96,3418,404,39.5,random,annealed,378,1,24,37,7,64,N=378,326,3744,0.9129273504273504
81,107,103,81,8355,312,106.2,random,annealed,434,1,32,3,7,81,N=434,312,8667,0.9640013845621322
82,107,103,81,8355,419,52.8,random,annealed,434,1,32,4,7,81,N=434,312,8667,0.9640013845621322
83,98,94,83,7860,274,48.6,random,annealed,434,1,32,5,7,81,N=434,274,8134,0.9663142365379886
84,91,87,84,7277,367,47.4,random,annealed,434,1,32,6,7,81,N=434,367,7644,0.9519884877027734
85,87,83,85,7053,342,47.4,random,annealed,434,1,32,7,7,81,N=434,342,7395,0.9537525354969574
86,77,74,86,6346,276,46.4,random,annealed,434,1,32,8,7,81,N=434,276,6622,0.9583207490184235
87,75,71,87,6188,337,46.9,random,annealed,434,1,32,9,7,81,N=434,337,6525,0.948352490421456
88,67,63,88,5587,309,46.2,random,annealed,434,1,32,10,7,81,N=434,309,5896,0.9475915875169606
89,65,61,89,5378,407,46.7,random,annealed,434,1,32,11,7,81,N=434,407,5785,0.9296456352636128
90,65,61,89,5378,472,46.5,random,annealed,434,1,32,12,7,81,N=434,407,5785,0.9296456352636128
91,63,59,91,5322,411,46.0,random,annealed,434,1,32,13,7,81,N=434,411,5733,0.9283097854526426
92,60,56,92,5116,404,47.1,random,annealed,434,1,32,14,7,81,N=434,404,5520,0.9268115942028986
93,57,54,93,4948,353,46.2,random,annealed,434,1,32,15,7,81,N=434,353,5301,0.9334087907941898
94,56,52,94,4919,345,46.3,random,annealed,434,1,32,16,7,81,N=434,345,5264,0.9344604863221885
95,56,52,94,4919,401,47.7,random,annealed,434,1,32,17,7,81,N=434,345,5264,0.9344604863221885
96,54,50,96,4784,400,47.6,random,annealed,434,1,32,18,7,81,N=434,400,5184,0.9228395061728395
97,54,50,96,4784,454,47.0,random,annealed,434,1,32,19,7,81,N=434,400,5184,0.9228395061728395
98,50,46,98,4535,365,45.3,random,annealed,434,1,32,20,7,81,N=434,365,4900,0.9255102040816326
34,184,180,34,5224,1032,0.1,random,cap_sweep,180,1,8,3,7,34,N=180,1032,6256,0.8350383631713555
35,184,180,34,5224,1216,0.1,random,cap_sweep,180,1,8,4,7,34,N=180,1032,6256,0.8350383631713555
36,184,180,34,5224,1400,0.1,random,cap_sweep,180,1,8,5,7,34,N=180,1032,6256,0.8350383631713555
